
Display,Variable,Type,Name,Value
-,modelRotation,numeric,,0.00
-,originToggle,checkbox,,Off
-,isSquare,checkbox,,On
-,isTapered,checkbox,,On
-,hasFlange,checkbox,,On
-,lensToggle,checkbox,,Off
-,wallMount,checkbox,,Off
-,bX,dimension,,4"
-,bY,dimension,,4"
-,tX,dimension,,2"
-,tY,dimension,,2"
-,hDepth,dimension,,3"
-,flThk,dimension,,1/16"
-,flLap,dimension,,3/8"
-,lensSetback,dimension,,1/4"
-,wallThk,dimension,,1/8"
-,capThk,dimension,,1/4"
-,matRecess,material,,68
-,matFlange,material,,68
-,matLens,material,,123
x,matCap,material,,578
-,labelSize,numeric,,6.75
-,labelSource,checkbox,,Off
-,labelText,text,,RL-1
-,pen2D,pen,,172
-,opaque2D,checkbox,,Off
x,labelX,dimension,,0"
x,labelY,dimension,,0"
-,sym2DStyle,style,,0
-,maskFillType,fill,,21
-,maskFillPen,pen,,91
